,Academic Year,County Code,District Code,County Name,District Name,Adjusted Cumulative Enrollment,Stability Count,Stability Rate (percent),Non-Stability Count,Non-Stability Rate (percent)
5243,2022-23,10,62281.0,Fresno,Laton Joint Unified,655,572,87.3,83,12.7
5244,2022-23,10,75127.0,Fresno,Mendota Unified,4091,3413,83.4,678,16.6
5245,2022-23,10,62323.0,Fresno,Monroe Elementary,188,158,84.0,30,16.0
5246,2022-23,10,62331.0,Fresno,Orange Center,1865,1249,67.0,616,33.0
5247,2022-23,10,62356.0,Fresno,Pacific Union Elementary,382,316,82.7,66,17.3
5248,2022-23,10,62364.0,Fresno,Parlier Unified,3496,3076,88.0,420,12.0
5249,2022-23,10,62372.0,Fresno,Pine Ridge Elementary,75,66,88.0,9,12.0
5250,2022-23,10,62380.0,Fresno,Raisin City Elementary,730,435,59.6,295,40.4
5251,2022-23,10,75408.0,Fresno,Riverdale Joint Unified,1533,1393,90.9,140,9.1
5252,2022-23,10,62414.0,Fresno,Sanger Unified,13713,12617,92.0,1096,8.0
5253,2022-23,10,62430.0,Fresno,Selma Unified,6253,5563,89.0,690,11.0
5254,2022-23,10,75275.0,Fresno,Sierra Unified,1414,1219,86.2,195,13.8
5255,2022-23,10,62513.0,Fresno,Washington Colony Elementary,496,437,88.1,59,11.9
5256,2022-23,10,76778.0,Fresno,Washington Unified,3040,2635,86.7,405,13.3
5257,2022-23,10,62539.0,Fresno,West Park Elementary,620,459,74.0,161,26.0
5258,2022-23,10,62547.0,Fresno,Westside Elementary,4685,3294,70.3,1391,29.7
5259,2022-23,11,62554.0,Glenn,Capay Joint Union Elementary,198,182,91.9,16,8.1
5260,2022-23,11,10116.0,Glenn,Glenn County Office of Education,641,366,57.1,275,42.9
5261,2022-23,11,76562.0,Glenn,Hamilton Unified,739,696,94.2,43,5.8
5262,2022-23,11,62596.0,Glenn,Lake Elementary,978,843,86.2,135,13.8
5263,2022-23,11,75481.0,Glenn,Orland Joint Unified,2379,2110,88.7,269,11.3
5264,2022-23,11,62638.0,Glenn,Plaza Elementary,203,199,98.0,4,2.0
5265,2022-23,11,62646.0,Glenn,Princeton Joint Unified,140,124,88.6,16,11.4
5266,2022-23,11,62653.0,Glenn,Stony Creek Joint Unified,91,79,86.8,12,13.2
5267,2022-23,11,62661.0,Glenn,Willows Unified,1516,1292,85.2,224,14.8
5268,2022-23,12,62679.0,Humboldt,Arcata Elementary,1216,1070,88.0,146,12.0
5269,2022-23,12,62695.0,Humboldt,Big Lagoon Union Elementary,18,14,77.8,4,22.2
5270,2022-23,12,62703.0,Humboldt,Blue Lake Union Elementary,183,163,89.1,20,10.9
5271,2022-23,12,62729.0,Humboldt,Bridgeville Elementary,44,36,81.8,8,18.2
5272,2022-23,12,62737.0,Humboldt,Cuddeback Union Elementary,161,145,90.1,16,9.9
5273,2022-23,12,62745.0,Humboldt,Cutten Elementary,580,548,94.5,32,5.5
5274,2022-23,12,75515.0,Humboldt,Eureka City Schools,3974,3436,86.5,538,13.5
5275,2022-23,12,75374.0,Humboldt,Ferndale Unified,488,455,93.2,33,6.8
5276,2022-23,12,62794.0,Humboldt,Fieldbrook Elementary,110,106,96.4,4,3.6
5277,2022-23,12,76802.0,Humboldt,Fortuna Elementary,1402,1254,89.4,148,10.6
5278,2022-23,12,62810.0,Humboldt,Fortuna Union High,1114,940,84.4,174,15.6
5279,2022-23,12,62828.0,Humboldt,Freshwater Elementary,320,298,93.1,22,6.9
5280,2022-23,12,62836.0,Humboldt,Garfield Elementary,72,68,94.4,4,5.6
5281,2022-23,12,62851.0,Humboldt,Green Point Elementary,15,11,73.3,4,26.7
5282,2022-23,12,10124.0,Humboldt,Humboldt County Office of Education,1038,709,68.3,329,31.7
5283,2022-23,12,62885.0,Humboldt,Hydesville Elementary,222,210,94.6,12,5.4
5284,2022-23,12,62893.0,Humboldt,Jacoby Creek Elementary,466,449,96.4,17,3.6
5285,2022-23,12,62901.0,Humboldt,Klamath-Trinity Joint Unified,1025,869,84.8,156,15.2
5286,2022-23,12,62919.0,Humboldt,Kneeland Elementary,33,32,97.0,1,3.0
5287,2022-23,12,62927.0,Humboldt,Loleta Union Elementary,111,88,79.3,23,20.7
5288,2022-23,12,62935.0,Humboldt,Maple Creek Elementary,11,4,36.4,7,63.6
5289,2022-23,12,75382.0,Humboldt,Mattole Unified,38,29,76.3,9,23.7
5290,2022-23,12,62950.0,Humboldt,McKinleyville Union Elementary,961,861,89.6,100,10.4
5291,2022-23,12,62687.0,Humboldt,Northern Humboldt Union High,2024,1801,89.0,223,11.0
5292,2022-23,12,62968.0,Humboldt,Orick Elementary,11,8,72.7,3,27.3
5293,2022-23,12,62976.0,Humboldt,Pacific Union Elementary,608,558,91.8,50,8.2
5294,2022-23,12,62984.0,Humboldt,Peninsula Union,88,66,75.0,22,25.0
5295,2022-23,12,63008.0,Humboldt,Rio Dell Elementary,362,317,87.6,45,12.4
5296,2022-23,12,63024.0,Humboldt,Scotia Union Elementary,198,149,75.3,49,24.7
5297,2022-23,12,63032.0,Humboldt,South Bay Union Elementary,962,769,79.9,193,20.1
5298,2022-23,12,63040.0,Humboldt,Southern Humboldt Joint Unified,751,603,80.3,148,19.7
5299,2022-23,12,63057.0,Humboldt,Trinidad Union Elementary,174,159,91.4,15,8.6
5300,2022-23,13,63073.0,Imperial,Brawley Elementary,4064,3701,91.1,363,8.9
5301,2022-23,13,63081.0,Imperial,Brawley Union High,2132,1838,86.2,294,13.8
5302,2022-23,13,63099.0,Imperial,Calexico Unified,8887,7828,88.1,1059,11.9
5303,2022-23,13,63107.0,Imperial,Calipatria Unified,1238,1109,89.6,129,10.4
