,Academic Year,County Code,District Code,County Name,District Name,Adjusted Cumulative Enrollment,Stability Count,Stability Rate (percent),Non-Stability Count,Non-Stability Rate (percent)
519,2017-18,33,66985.0,Riverside,Banning Unified,5076,4027,79.3,1049,20.7
520,2017-18,33,66993.0,Riverside,Beaumont Unified,11109,9560,86.1,1549,13.9
521,2017-18,33,31625.0,Riverside,California School for the Deaf-Riverside (State Special Schl),386,340,88.1,46,11.9
522,2017-18,33,73676.0,Riverside,Coachella Valley Unified,19379,17329,89.4,2050,10.6
523,2017-18,33,67033.0,Riverside,Corona-Norco Unified,55792,50654,90.8,5138,9.2
524,2017-18,33,67041.0,Riverside,Desert Center Unified,29,11,37.9,18,62.1
525,2017-18,33,67058.0,Riverside,Desert Sands Unified,29902,26918,90.0,2984,10.0
526,2017-18,33,67082.0,Riverside,Hemet Unified,24227,19655,81.1,4572,18.9
527,2017-18,33,67090.0,Riverside,Jurupa Unified,20412,17680,86.6,2732,13.4
528,2017-18,33,75176.0,Riverside,Lake Elsinore Unified,23512,20331,86.5,3181,13.5
529,2017-18,33,67116.0,Riverside,Menifee Union Elementary,12681,11051,87.1,1630,12.9
530,2017-18,33,67124.0,Riverside,Moreno Valley Unified,36161,30243,83.6,5918,16.4
531,2017-18,33,75200.0,Riverside,Murrieta Valley Unified,24398,21977,90.1,2421,9.9
532,2017-18,33,67157.0,Riverside,Nuview Union ,3071,2736,89.1,335,10.9
533,2017-18,33,67173.0,Riverside,Palm Springs Unified,24402,21386,87.6,3016,12.4
534,2017-18,33,67181.0,Riverside,Palo Verde Unified,3227,2728,84.5,499,15.5
535,2017-18,33,67199.0,Riverside,Perris Elementary,6484,5498,84.8,986,15.2
536,2017-18,33,67207.0,Riverside,Perris Union High,11663,9810,84.1,1853,15.9
537,2017-18,33,10330.0,Riverside,Riverside County Office of Education,12242,7762,63.4,4480,36.6
538,2017-18,33,67215.0,Riverside,Riverside Unified,44798,39872,89.0,4926,11.0
539,2017-18,33,67231.0,Riverside,Romoland Elementary,4296,3693,86.0,603,14.0
540,2017-18,33,67249.0,Riverside,San Jacinto Unified,12486,10387,83.2,2099,16.8
541,2017-18,33,76943.0,Riverside,SBE - Baypoint Preparatory Academy,499,370,74.1,129,25.9
542,2017-18,33,75192.0,Riverside,Temecula Valley Unified,31568,28413,90.0,3155,10.0
543,2017-18,33,75242.0,Riverside,Val Verde Unified,21832,18606,85.2,3226,14.8
544,2017-18,34,67280.0,Sacramento,Arcohe Union Elementary,494,438,88.7,56,11.3
545,2017-18,34,32276.0,Sacramento,California Education Authority (CEA) Headquarters,486,161,33.1,325,66.9
546,2017-18,34,73973.0,Sacramento,Center Joint Unified,4734,4001,84.5,733,15.5
547,2017-18,34,67314.0,Sacramento,Elk Grove Unified,66740,59573,89.3,7167,10.7
548,2017-18,34,67322.0,Sacramento,Elverta Joint Elementary,357,267,74.8,90,25.2
549,2017-18,34,67330.0,Sacramento,Folsom-Cordova Unified,21560,19120,88.7,2440,11.3
550,2017-18,34,67348.0,Sacramento,Galt Joint Union Elementary,3789,3509,92.6,280,7.4
551,2017-18,34,67355.0,Sacramento,Galt Joint Union High,2282,2061,90.3,221,9.7
552,2017-18,34,75283.0,Sacramento,Natomas Unified,15951,13933,87.3,2018,12.7
553,2017-18,34,67413.0,Sacramento,River Delta Joint Unified,2464,2212,89.8,252,10.2
554,2017-18,34,67421.0,Sacramento,Robla Elementary,2745,2141,78.0,604,22.0
555,2017-18,34,67439.0,Sacramento,Sacramento City Unified,49599,42965,86.6,6634,13.4
556,2017-18,34,10348.0,Sacramento,Sacramento County Office of Education,3446,1783,51.7,1663,48.3
557,2017-18,34,67447.0,Sacramento,San Juan Unified,54983,45502,82.8,9481,17.2
558,2017-18,34,76935.0,Sacramento,SBE - Paramount Collegiate Academy,78,0,0.0,78,100.0
559,2017-18,34,76505.0,Sacramento,Twin Rivers Unified,36814,27781,75.5,9033,24.5
560,2017-18,35,75259.0,San Benito,Aromas - San Juan Unified,1176,1039,88.4,137,11.6
561,2017-18,35,67454.0,San Benito,Bitterwater-Tully Elementary,37,32,86.5,5,13.5
562,2017-18,35,67462.0,San Benito,Cienega Union Elementary,34,28,82.4,6,17.6
563,2017-18,35,67470.0,San Benito,Hollister,6196,5604,90.4,592,9.6
564,2017-18,35,67488.0,San Benito,Jefferson Elementary,12,6,50.0,6,50.0
565,2017-18,35,67504.0,San Benito,North County Joint Union Elementary,775,730,94.2,45,5.8
566,2017-18,35,10355.0,San Benito,San Benito County Office of Education,83,12,14.5,71,85.5
567,2017-18,35,67538.0,San Benito,San Benito High,3177,2870,90.3,307,9.7
568,2017-18,35,67553.0,San Benito,Southside Elementary,234,189,80.8,45,19.2
569,2017-18,35,67561.0,San Benito,Tres Pinos Union Elementary,128,119,93.0,9,7.0
570,2017-18,35,67579.0,San Benito,Willow Grove Union Elementary,20,14,70.0,6,30.0
571,2017-18,36,67587.0,San Bernardino,Adelanto Elementary,10322,7629,73.9,2693,26.1
572,2017-18,36,67595.0,San Bernardino,Alta Loma Elementary,6300,5817,92.3,483,7.7
573,2017-18,36,75077.0,San Bernardino,Apple Valley Unified,15837,13100,82.7,2737,17.3
574,2017-18,36,73858.0,San Bernardino,Baker Valley Unified,152,124,81.6,28,18.4
575,2017-18,36,67611.0,San Bernardino,Barstow Unified,7189,5268,73.3,1921,26.7
576,2017-18,36,67637.0,San Bernardino,Bear Valley Unified,2696,2288,84.9,408,15.1
577,2017-18,36,67645.0,San Bernardino,Central Elementary,4933,4320,87.6,613,12.4
578,2017-18,36,67652.0,San Bernardino,Chaffey Joint Union High,25078,22393,89.3,2685,10.7
579,2017-18,36,67678.0,San Bernardino,Chino Valley Unified,29670,26896,90.7,2774,9.3
580,2017-18,36,67686.0,San Bernardino,Colton Joint Unified,24540,20947,85.4,3593,14.6
581,2017-18,36,67694.0,San Bernardino,Cucamonga Elementary,2737,2308,84.3,429,15.7
582,2017-18,36,67702.0,San Bernardino,Etiwanda Elementary,14787,13652,92.3,1135,7.7
583,2017-18,36,67710.0,San Bernardino,Fontana Unified,39794,34373,86.4,5421,13.6
