,CountyCode,DistrictCode,CountyName,DistrictName,Cumulative Enrollment,Total Suspensions,Unduplicated Count of Students Suspended (Total),Unduplicated Count of Students Suspended (Defiance-Only),Suspension Rate (Total),Suspension Count Violent Incident (Injury),Suspension Count Violent Incident (No Injury),Suspension Count Weapons Possession,Suspension Count Illicit Drug-Related,Suspension Count Defiance-Only,Suspension Count Other Reasons,AcademicYear
468,29,66316.0,Nevada,Chicago Park Elementary,150,9,8,1,5.3,0,7,0,0,1,1,2011-12
469,29,66324.0,Nevada,Clear Creek Elementary,175,0,0,0,0.0,0,0,0,0,0,0,2011-12
470,29,66332.0,Nevada,Grass Valley Elementary,1810,375,187,79,10.3,28,190,7,22,109,19,2011-12
471,29,66340.0,Nevada,Nevada City Elementary,1041,46,33,6,3.2,12,14,6,2,8,4,2011-12
472,29,66357.0,Nevada,Nevada Joint Union High,3613,668,382,165,10.6,33,221,14,170,221,9,2011-12
473,29,66373.0,Nevada,Pleasant Ridge Union Elementary,1603,79,58,12,3.6,6,38,7,1,19,8,2011-12
474,29,66381.0,Nevada,Pleasant Valley Elementary,543,5,5,0,0.9,0,5,0,0,0,0,2011-12
475,29,66399.0,Nevada,Ready Springs Union Elementary,321,33,14,8,4.4,5,12,1,1,13,1,2011-12
476,29,66407.0,Nevada,Union Hill Elementary,725,61,35,19,4.8,1,21,3,3,31,2,2011-12
477,29,66415.0,Nevada,Twin Ridges Elementary,120,0,0,0,0.0,0,0,0,0,0,0,2011-12
478,30,10306.0,Orange,Orange County Department of Education,15029,31,31,0,0.2,0,0,6,24,0,1,2011-12
479,30,66423.0,Orange,Anaheim City,21086,442,340,76,1.6,87,185,39,22,85,24,2011-12
480,30,66431.0,Orange,Anaheim Union High,34109,1771,1079,726,3.2,64,284,6,95,1163,159,2011-12
481,30,66449.0,Orange,Brea-Olinda Unified,6233,252,173,67,2.8,50,57,6,22,95,22,2011-12
482,30,66456.0,Orange,Buena Park Elementary,5760,553,350,103,6.1,0,313,21,20,131,68,2011-12
483,30,66464.0,Orange,Capistrano Unified,55310,1943,1325,546,2.4,156,534,58,306,766,123,2011-12
484,30,66472.0,Orange,Centralia Elementary,4771,69,49,18,1.0,35,4,2,0,21,7,2011-12
485,30,66480.0,Orange,Cypress Elementary,4122,27,20,2,0.5,1,19,2,0,3,2,2011-12
486,30,66498.0,Orange,Fountain Valley Elementary,6515,118,85,18,1.3,29,39,3,7,21,19,2011-12
487,30,66506.0,Orange,Fullerton Elementary,14349,682,480,136,3.3,51,374,12,37,151,57,2011-12
488,30,66514.0,Orange,Fullerton Joint Union High,15415,867,716,159,4.6,206,90,10,296,182,83,2011-12
489,30,66522.0,Orange,Garden Grove Unified,43545,3033,2025,761,4.7,110,1069,137,341,1034,342,2011-12
490,30,66530.0,Orange,Huntington Beach City Elementary,7429,321,212,63,2.9,5,179,9,8,87,33,2011-12
491,30,66548.0,Orange,Huntington Beach Union High,17160,1582,1095,553,6.4,15,385,25,298,791,68,2011-12
492,30,66555.0,Orange,Laguna Beach Unified,3152,107,81,34,2.6,1,36,0,14,42,14,2011-12
493,30,66563.0,Orange,La Habra City Elementary,5550,303,213,112,3.8,72,47,13,18,141,12,2011-12
494,30,66589.0,Orange,Magnolia Elementary,6967,150,111,42,1.6,4,53,16,1,52,24,2011-12
495,30,66597.0,Orange,Newport-Mesa Unified,22746,8474,3348,2717,14.7,151,1292,42,135,6629,225,2011-12
496,30,66613.0,Orange,Ocean View,9870,637,377,122,3.8,31,244,36,41,211,74,2011-12
497,30,66621.0,Orange,Orange Unified,31577,3402,1894,1094,6.0,432,548,68,291,1904,159,2011-12
498,30,66647.0,Orange,Placentia-Yorba Linda Unified,26751,1653,1077,457,4.0,326,323,31,179,691,103,2011-12
499,30,66670.0,Orange,Santa Ana Unified,57132,7765,4182,1971,7.3,385,2674,290,518,3309,589,2011-12
500,30,66696.0,Orange,Savanna Elementary,2604,30,18,8,0.7,3,15,0,0,12,0,2011-12
501,30,66746.0,Orange,Westminster Elementary,10091,755,476,188,4.7,13,311,34,37,267,93,2011-12
502,30,73635.0,Orange,Saddleback Valley Unified,31850,1456,1043,430,3.3,43,380,71,243,596,123,2011-12
503,30,73643.0,Orange,Tustin Unified,24512,742,614,0,2.5,93,392,59,84,0,114,2011-12
504,30,73650.0,Orange,Irvine Unified,29502,958,657,164,2.2,71,363,26,152,213,133,2011-12
505,30,73924.0,Orange,Los Alamitos Unified,10017,282,210,71,2.1,52,80,6,39,88,17,2011-12
