,Academic Year,County Code,District Code,County Name,District Name,Charter School,DASS,Reporting Category,Cumulative Enrollment,Homeless Student Enrollment,Temporarily Doubled Up,Temporary Shelters,Hotels/Motels,Temporarily Unsheltered,Missing/Unknown,Temporarily Doubled Up (percent),Temporary Shelters (percent),Hotels/Motels (percent),Temporarily Unsheltered (percent),Missing/Unknown (percent)
42,2019-20,5,61572.0,Calaveras,Mark Twain Union Elementary,All,All,TA,847,1,1,0,0,0,0,100.0,0.0,0.0,0.0,0.0
43,2019-20,5,61580.0,Calaveras,Vallecito Union,All,All,TA,622,33,31,2,0,0,0,93.9,6.1,0.0,0.0,0.0
44,2019-20,6,10066.0,Colusa,Colusa County Office of Education,All,All,TA,40,4,4,0,0,0,0,100.0,0.0,0.0,0.0,0.0
45,2019-20,6,61598.0,Colusa,Colusa Unified,All,All,TA,1622,54,32,10,12,0,0,59.3,18.5,22.2,0.0,0.0
46,2019-20,6,61606.0,Colusa,Maxwell Unified,All,All,TA,374,43,22,19,0,2,0,51.2,44.2,0.0,4.7,0.0
47,2019-20,6,61614.0,Colusa,Pierce Joint Unified,All,All,TA,1516,100,86,2,5,4,3,86.0,2.0,5.0,4.0,3.0
48,2019-20,6,61622.0,Colusa,Williams Unified,All,All,TA,1422,115,45,2,3,65,0,39.1,1.7,2.6,56.5,0.0
49,2019-20,7,61630.0,Contra Costa,Acalanes Union High,All,All,TA,5716,7,6,0,1,0,0,85.7,0.0,14.3,0.0,0.0
50,2019-20,7,61648.0,Contra Costa,Antioch Unified,All,All,TA,18337,468,386,15,37,30,0,82.5,3.2,7.9,6.4,0.0
51,2019-20,7,61655.0,Contra Costa,Brentwood Union Elementary,All,All,TA,9732,86,71,8,3,4,0,82.6,9.3,3.5,4.7,0.0
52,2019-20,7,61663.0,Contra Costa,Byron Union Elementary,All,All,TA,2472,50,47,1,0,2,0,94.0,2.0,0.0,4.0,0.0
53,2019-20,7,61671.0,Contra Costa,Canyon Elementary,All,All,TA,73,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
54,2019-20,7,10074.0,Contra Costa,Contra Costa County Office of Education,All,All,TA,6386,71,61,6,3,1,0,85.9,8.5,4.2,1.4,0.0
55,2019-20,7,61697.0,Contra Costa,John Swett Unified,All,All,TA,1517,44,38,1,4,1,0,86.4,2.3,9.1,2.3,0.0
56,2019-20,7,61705.0,Contra Costa,Knightsen Elementary,All,All,TA,626,7,5,0,0,2,0,71.4,0.0,0.0,28.6,0.0
57,2019-20,7,61713.0,Contra Costa,Lafayette Elementary,All,All,TA,3599,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
58,2019-20,7,61721.0,Contra Costa,Liberty Union High,All,All,TA,8595,210,176,23,7,4,0,83.8,11.0,3.3,1.9,0.0
59,2019-20,7,61739.0,Contra Costa,Martinez Unified,All,All,TA,4292,52,34,10,7,1,0,65.4,19.2,13.5,1.9,0.0
60,2019-20,7,61747.0,Contra Costa,Moraga Elementary,All,All,TA,1893,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
61,2019-20,7,61754.0,Contra Costa,Mt. Diablo Unified,All,All,TA,32074,635,521,51,29,34,0,82.0,8.0,4.6,5.4,0.0
62,2019-20,7,61762.0,Contra Costa,Oakley Union Elementary,All,All,TA,5408,22,15,6,1,0,0,68.2,27.3,4.5,0.0,0.0
63,2019-20,7,61770.0,Contra Costa,Orinda Union Elementary,All,All,TA,2604,6,6,0,0,0,0,100.0,0.0,0.0,0.0,0.0
